id,polarity,score
809701394689179648,Negative,-0.186
809701399042859008,Positive,0.24
809701400267603968,Neutral,0.0
809701400221515776,Negative,-0.186
809701402926841857,Neutral,0.0
809701404247986176,Negative,-0.186
809701408207409152,Negative,-0.186
809701412309499904,Negative,-0.186
809701417585963010,Negative,-0.186
809701422119919616,Negative,-0.186
809701427199307776,Negative,-0.186
809701431380942848,Negative,-0.186
809701436204400640,Negative,-0.186
809701440621084672,Negative,-0.186
809701445150920704,Negative,-0.186
809701448997027840,Negative,-0.186
809701454269259777,Negative,-0.186
809701459172397056,Negative,-0.186
809701463056412672,Negative,-0.186
809701698792988672,Neutral,0.0
809702261769109504,Neutral,0.0
809702930882424832,Neutral,0.0
809703245765550080,Neutral,0.0
809703770275901441,Positive,0.167
809703892766388224,Neutral,0.0
809704274439577600,Positive,0.165
809704436331401216,Positive,0.252
809704497345953792,Neutral,0.0
809704907490099204,Positive,0.362
809705093947883521,Neutral,0.0
809705133638635520,Neutral,0.0
809705516364603392,Positive,0.195
809705601353785346,Positive,0.231
809705746879447041,Neutral,0.0
809705914903035904,Negative,-0.167
809705925292347392,Positive,0.09
809705935266402304,Positive,0.16499999999999998
809705940131803136,Neutral,0.0
809705945274019840,Negative,-0.167
809706398300901376,Neutral,0.0
809706789071634432,Negative,-0.186
809708172009230340,Neutral,0.0
809708311461273600,Neutral,0.0
809708375340679168,Neutral,0.0
809708411327774720,Positive,0.089
809708924433813504,Neutral,0.0
809708941651443712,Neutral,0.0
809710071571693568,Neutral,0.0
809710178643902465,Positive,0.286
809710992833835008,Neutral,0.0
809711435387432960,Neutral,0.0
809711482237816832,Negative,-0.095
809711664719347712,Positive,0.313
809712408612704256,Positive,0.13
809712446403440641,Neutral,0.0
809712710040567808,Neutral,0.0
809714367826722816,Positive,0.222
809714561234468864,Positive,0.408
809715117365596161,Positive,0.222
809716464668307457,Neutral,0.0
809716528115490816,Neutral,0.0
809716983956504576,Negative,-0.305
809717041590628352,Positive,0.222
809717050499166208,Negative,-0.305
809717199510401024,Negative,-0.11
809717226915958784,Positive,0.252
809717251507044352,Negative,-0.305
809717886168117248,Neutral,0.0
809717971375587328,Negative,-0.305
809718158709948418,Positive,0.4
809718237973843968,Neutral,0.0
809719671620571136,Neutral,0.0
809719679887417346,Negative,-0.305
809719977565528064,Positive,0.274
809720299457347584,Negative,-0.087
809720430827372544,Neutral,0.0
809720501215993856,Negative,-0.305
809721646110097408,Negative,-0.305
809721841694679045,Positive,0.252
809722469938565120,Negative,-0.186
809722471251374080,Positive,0.089
809722474371940353,Negative,-0.186
809722494546366464,Neutral,0.0
809722568940941317,Neutral,0.0
809722623466864640,Neutral,0.0
809722655242915840,Neutral,0.0
809722687186763776,Neutral,0.0
809722717331226625,Neutral,0.0
809722736717262848,Neutral,0.0
809722756820504576,Neutral,0.0
809722821119184896,Neutral,0.0
809722867558580224,Neutral,0.0
809722909321269248,Neutral,0.0
809722968368615424,Neutral,0.0
809723008474615808,Neutral,0.0
809723120609177600,Negative,-0.305
809723331641569281,Positive,0.089
809723483026583554,Positive,0.202
809724164059832320,Negative,-0.305
809724276052029440,Negative,-0.305
809724638355980289,Neutral,0.0
809726461213102080,Neutral,0.0
809726519304187904,Positive,0.222
809726554288824320,Neutral,0.0
809726887169818628,Negative,-0.305
809726963405430784,Neutral,0.0
809727169568051204,Negative,-0.186
809727241517223936,Negative,-0.186
809727578005086208,Neutral,0.0
809727583218765824,Negative,-0.186
809728035234705408,Positive,0.274
809729510572638208,Neutral,0.0
809729527991582721,Negative,-0.207
809729878639656960,Neutral,0.0
809730202439974912,Neutral,0.0
809731233081069568,Positive,0.255
809731391302856704,Neutral,0.0
809731482763804672,Neutral,0.0
809731974281785344,Negative,-0.186
809732680967487488,Positive,1.8
809732836337061888,Neutral,0.0
809733482809200640,Neutral,0.0
809733997999882241,Neutral,0.0
809737163222958080,Negative,-0.186
809737308324921345,Neutral,0.0
809737663553163264,Negative,-0.186
809738938051006464,Neutral,0.0
809739496438763520,Positive,0.2
809739546690723840,Positive,0.2
809739583692873728,Positive,0.2
809739693516525568,Positive,0.2
809739876170137600,Negative,-0.179
809739878258933760,Positive,0.2
809739957405437952,Positive,0.2
809740014095454208,Positive,0.2
809740361073471489,Positive,0.2
809740446775775232,Positive,0.2
809740563109019648,Positive,0.2
809740950868201472,Positive,0.2
809741470169067520,Neutral,0.0
809741668782112769,Positive,0.2
809741840987594752,Neutral,0.0
809741925968478208,Negative,-0.186
809741934797303809,Positive,0.2
809741992032866304,Negative,-0.13
809743308809531392,Positive,0.285
809743738582999040,Positive,0.2
809743826076123136,Positive,0.2
809744067269693440,Negative,-0.068
809744943254216704,Neutral,0.0
809745081771167744,Neutral,0.0
809745156589162497,Neutral,0.0
809745432985227264,Positive,1.0
809745563079954432,Positive,0.2
809745754617221120,Neutral,0.0
809746182750801921,Positive,0.333
809746359649611776,Negative,-0.305
809746710532685824,Neutral,0.0
809746907497189376,Neutral,0.0
809747046890688514,Neutral,0.0
809747285047476228,Negative,-0.186
809747394799738880,Neutral,0.0
809747419034435584,Neutral,0.0
809747577235181568,Neutral,0.0
809747859100893185,Neutral,0.0
809748079335378944,Neutral,0.0
